Country,Pop
Afghanistan,37466414
Albania,3088385
Algeria,43576691
American Samoa,46366
Andorra,85645
Angola,33642646
Anguilla,18403
Antigua and Barbuda,99175
Argentina,45864941
Armenia,3011609
Aruba,120917
Australia,25809973
Austria,8884864
Azerbaijan,10282283
"Bahamas, The",352655
Bahrain,1526929
Bangladesh,164098818
Barbados,301865
Belarus,9441842
Belgium,11778842
Belize,405633
Benin,13301694
Bermuda,72084
Bhutan,857423
Bolivia,11758869
Bosnia and Herzegovina,3824782
Botswana,2350667
Brazil,213445417
British Virgin Islands,37891
Brunei,471103
Bulgaria,6919180
Burkina Faso,21382659
Burma,57069099
Burundi,12241065
Cabo Verde,589451
Cambodia,17304363
Cameroon,28524175
Canada,37943231
Cayman Islands,63131
Central African Republic,5357984
Chad,17414108
Chile,18307925
China,1397897720
Colombia,50355650
Comoros,864335
"Congo, Democratic Republic of the",105044646
"Congo, Republic of the",5417414
Cook Islands,8327
Costa Rica,5151140
Cote dâ€™Ivoire,28088455
Croatia,4208973
Cuba,11032343
Curacao,151885
Cyprus,1281506
Czechia,10702596
Denmark,5894687
Djibouti,938413
Dominica,74584
Dominican Republic,10597348
Ecuador,17093159
Egypt,106437241
El Salvador,6528135
Equatorial Guinea,857008
Eritrea,6147398
Estonia,1220042
Eswatini,1113276
Ethiopia,110871031
Faroe Islands,51943
Fiji,939535
Finland,5587442
France,68084217
French Polynesia,297154
Gabon,2284912
"Gambia, The",2221301
Gaza Strip,1957062
Georgia,4933674
Germany,79903481
Ghana,32372889
Gibraltar,29516
Greece,10569703
Greenland,57799
Grenada,113570
Guam,168801
Guatemala,17422821
Guernsey,67334
Guinea,12877894
Guinea-Bissau,1976187
Guyana,787971
Haiti,11198240
Honduras,9346277
Hong Kong,7263234
Hungary,9728337
Iceland,354234
India,1339330514
Indonesia,275122131
Iran,85888910
Iraq,39650145
Ireland,5224884
Isle of Man,90895
Israel,8787045
Italy,62390364
Jamaica,2816602
Japan,124687293
Jersey,101476
Jordan,10909567
Kazakhstan,19245793
Kenya,54685051
Kiribati,113001
"Korea, North",25831360
"Korea, South",51715162
Kosovo,1935259
Kuwait,3032065
Kyrgyzstan,6018789
Laos,7574356
Latvia,1862687
Lebanon,5261372
Lesotho,2177740
Liberia,5214030
Libya,7017224
Liechtenstein,39425
Lithuania,2711566
Luxembourg,639589
Macau,630396
Madagascar,27534354
Malawi,20308502
Malaysia,33519406
Maldives,390669
Mali,20137527
Malta,460891
Marshall Islands,78831
Mauritania,4079284
Mauritius,1386129
Mexico,130207371
"Micronesia, Federated States of",101675
Moldova,3323875
Monaco,31223
Mongolia,3198913
Montenegro,607414
Montserrat,5387
Morocco,36561813
Mozambique,30888034
Namibia,2678191
Nauru,9770
Nepal,30424878
Netherlands,17337403
New Caledonia,293608
New Zealand,4991442
Nicaragua,6243931
Niger,23605767
Nigeria,219463862
Niue,2000
North Macedonia,2128262
Northern Mariana Islands,51659
Norway,5509591
Oman,3694755
Pakistan,238181034
Palau,21613
Panama,3928646
Papua New Guinea,7399757
Paraguay,7272639
Peru,32201224
Philippines,110818325
Poland,38185913
Portugal,10263850
Puerto Rico,3142779
Qatar,2479995
Romania,21230362
Russia,142320790
Rwanda,12943132
Saint Barthelemy,7116
"Saint Helena, Ascension, and Tristan da Cunha",7915
Saint Kitts and Nevis,54149
Saint Lucia,166637
Saint Martin,32680
Saint Pierre and Miquelon,5321
Saint Vincent and the Grenadines,101145
Samoa,204898
San Marino,34467
Sao Tome and Principe,213948
Saudi Arabia,34783757
Senegal,16082442
Serbia,6974289
Seychelles,96387
Sierra Leone,6807277
Singapore,5866139
Sint Maarten,44564
Slovakia,5436066
Slovenia,2102106
Solomon Islands,690598
Somalia,12094640
South Africa,56978635
South Sudan,10984074
Spain,47260584
Sri Lanka,23044123
Sudan,46751152
Suriname,614749
Sweden,10261767
Switzerland,8453550
Syria,20384316
Taiwan,23572052
Tajikistan,8990874
Tanzania,62092761
Thailand,69480520
Timor-Leste,1413958
Togo,8283189
Tonga,105780
Trinidad and Tobago,1221047
Tunisia,11811335
Turkey,82482383
Turkmenistan,5579889
Turks and Caicos Islands,57196
Tuvalu,11448
Uganda,44712143
Ukraine,43745640
United Arab Emirates,9856612
United Kingdom,66052076
United States,334998398
Uruguay,3398239
Uzbekistan,30842796
Vanuatu,303009
Venezuela,29069153
Vietnam,102789598
Virgin Islands,105870
Wallis and Futuna,15851
West Bank,2949246
Yemen,30399243
Zambia,19077816
Zimbabwe,14829988
